ID,attention,condition,condition_dum,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,EGA_1_1,EGA_2_1,EGA_3_1,EGA_4_1,EGA_5_1,EGA_6_1,EGA_7_1,EGA_8_1,EGA_9_1,EGA_10_1,EGA_11_1,state,city,age,gender,gender_3_TEXT,race,race_16_TEXT,education,comments,PROLIFIC_PID
21,4,Fathers,1,1,2,3,12,13,18,16,10,14,5,6,17,7,11,4,8,9,15,7,2,1,2,2,2,5,6,7,2,4,Kansas,Manhattan,31,2,,1,,5,,5fce87101036290e0bec1bc0
22,4,Mothers,0,18,17,16,4,5,9,8,1,2,15,13,7,14,6,11,12,10,3,6,2,2,2,2,1,3,6,7,2,3,IL,Chicago,32,2,,"1,3",,3,,60243e91cd74020ea686d5e7
23,4,Mothers,0,14,15,18,2,8,3,1,7,4,17,13,5,12,9,10,16,11,6,6,2,2,3,2,4,5,5,7,5,4,Texas,San Marcos,24,2,,1,,5,,6106cf15bce57bc1fd1502db
24,4,Mothers,0,13,11,14,2,5,1,10,9,3,15,16,7,18,6,8,12,17,4,6,1,1,1,1,2,4,6,7,2,1,Missouri,Saint Louis,39,1,,1,,5,,62729d8405551c2bb28d5ca8
25,1,Fathers,1,2,1,3,11,17,18,10,16,13,4,6,12,5,15,9,7,8,14,1,6,6,7,2,6,2,4,7,7,6,MISSOURI ,SPRINGFIELD ,53,1,,1,,3,,5f988a053b4bf5186a5d6693
26,4,Mothers,0,17,16,13,12,9,8,2,6,1,18,15,5,11,4,7,14,10,3,7,2,1,1,1,2,4,7,7,4,4,North Carolina,Chapel Hill,31,2,,1,,2,,60fdb2b68724a8708f666bb7
27,4,Mothers,0,16,13,14,5,4,1,3,2,8,12,17,9,18,7,11,15,10,6,7,2,1,2,1,1,1,4,7,1,1,Iowa,Cedar Rapids,21,2,,1,,3,,6036b797b572bfc7b694e5d2
28,4,Fathers,1,2,3,5,1,4,15,7,14,16,10,9,18,8,17,6,11,12,13,4,4,4,4,4,4,6,7,7,6,3,Florida,Pensacola,22,1,,1,,2,,62f3fd82d8bca81b9ba8842d
29,1,Mothers,0,15,14,11,1,10,2,3,5,6,18,16,12,17,9,4,8,7,13,7,3,1,1,1,4,7,7,7,3,2,pa,coatesville,30,2,,1,,5,,5f13ce0fb2e79f281f95e1de
30,4,Fathers,1,1,4,3,16,15,5,14,17,18,6,7,13,2,11,10,9,8,12,6,2,5,1,3,2,3,6,6,2,3,New York,Buffalo,24,2,,1,,5,,5e35bc2061260656a1fa63f7
31,4,Mothers,0,16,12,13,8,6,5,7,1,9,17,18,3,15,4,14,10,11,2,5,2,1,1,1,4,6,7,7,1,1,Nevada,Las Vegas,25,1,,4,,4,,5cfb6018bdfd56001820466f
32,4,Fathers,1,13,2,8,1,16,9,12,18,17,6,4,14,5,7,11,3,15,10,7,1,1,1,1,1,2,7,7,1,2,LA,New Orleans,19,2,,1,,3,,60fee2c94b4db58f1de6cbd0
33,4,Fathers,1,2,1,3,18,16,17,13,15,14,5,6,12,4,11,8,7,9,10,5,4,3,5,3,5,7,4,5,6,6,PA,Erie,37,2,,1,,3,,5e541c7cef87a906f435fb69
34,4,Mothers,0,18,14,17,1,2,3,13,5,4,15,11,8,16,6,10,9,12,7,7,1,1,1,1,1,4,5,7,1,2,texas,San Antonio,22,2,,1,,3,fun survey! keep up the good work!,612e88e81952522ab3d8d8a7
35,4,Fathers,1,1,2,4,14,13,12,11,17,18,5,7,10,6,15,3,8,9,16,6,4,2,5,1,4,4,5,7,3,3,Illinois,West Chicago,61,2,,1,,5, ,5e3730e29367056cd1c6f168
36,4,Mothers,0,18,17,12,3,8,6,7,4,1,13,15,2,16,9,14,11,10,5,1,1,1,1,1,1,1,5,7,1,1,CA,Los Angeles,34,2,,"1,3",,6,,611f18c8da4156d7a97fa019
37,1,Fathers,1,5,7,13,15,18,17,11,16,8,1,4,10,3,14,6,2,9,12,2,5,4,5,1,4,4,7,7,2,4,Florida,West Palm Beach,36,1,,1,,4,Interesting study.,5f8b066742a6381ddae03d75
38,4,Mothers,0,16,17,8,1,2,4,3,5,12,18,14,9,10,7,15,11,13,6,7,1,1,1,1,6,5,5,7,1,5,Louisiana,Pineville,25,2,,1,,6,,5d2bb0fd6230200016a661f3
39,2,Mothers,0,13,15,10,3,1,2,8,6,4,18,17,9,16,5,11,14,12,7,2,6,4,7,3,4,4,2,5,5,5,lD,Twin Falls,24,2,,"1,2",,2,,5ab5ab906db3e700011bed75
40,4,Mothers,0,18,8,14,3,1,7,13,6,2,15,5,4,16,10,17,12,11,9,3,1,1,1,1,5,5,4,7,2,6,North Carolina,Bahama,19,1,,1,,3,,5e4aa4c11e0136000af57a42
41,4,Fathers,1,1,5,6,10,13,16,15,14,18,2,9,17,3,12,4,7,8,11,5,6,3,2,6,4,6,4,5,6,1,Ohio,Chillicothe,63,2,,"1,10",,4,,5c5c70947676860001fff825
42,4,Fathers,1,2,1,3,18,17,15,13,12,16,6,4,10,8,14,5,9,11,7,7,1,1,1,1,1,1,7,7,1,1,IL,Chicago,23,3,nonbinary,1,,5,,5c113ae4b7fb2f00011a6b7e
43,4,Fathers,1,1,3,2,14,9,15,16,12,18,4,6,17,7,13,8,5,10,11,7,1,1,1,1,4,6,5,7,4,3,NC,Statesville,36,2,,1,,5,,6130c9c7f70b6f67907d58d5
44,4,Mothers,0,16,12,9,7,6,1,5,2,8,18,13,4,15,11,14,10,17,3,7,1,1,1,3,3,1,4,7,1,1,NC,Apex,31,1,,1,,5,,5f492c580a5378303cdefc55
